id,category,document_type,section,title,theme,theme_url,summary,date,date_iso,year,post_url,file_url,path,filename,language,source_list_url
avis_2026-04-30-08-29-55_doc261330fr,avis,avis,conseil central de l’économie,Vers une réforme réussie du budget mobilité,Mobilité,https://www.ccecrb.fgov.be/c/fr/4/mobilite,L’accord de gouvernement fédéral 2025-2029 prévoit que le budget mobilité passera d’un instrument volontaire à une obligation légale : les...,29/04/2026,2026-04-29,2026,https://www.ccecrb.fgov.be/p/fr/1384/vers-une-reforme-reussie-du-budget-mobilite,https://www.ccecrb.fgov.be/dpics/fichiers/2026-04-30-08-29-55_doc261330fr.pdf,avis/2026-04-30-08-29-55_doc261330fr.pdf,2026-04-30-08-29-55_doc261330fr.pdf,fr,https://www.ccecrb.fgov.be/type/fr/1/avis
avis_2026-04-03-09-43-23_doc261020fr,avis,avis,conseil central de l’économie,"Impact de la transition climatique sur l’activité, l'emploi et la formation",Emploi et compétitivité,https://www.ccecrb.fgov.be/c/fr/2/emploi-et-competitivite,Le Conseil central de l'économie (CCE) et le Conseil fédéral du développement durable (CFDD) ont rendu le 2 avril 2026 un avis conjoint sur les impacts sectoriels de...,02/04/2026,2026-04-02,2026,https://www.ccecrb.fgov.be/p/fr/1373/impact-de-la-transition-climatique-sur-l-activite-l-emploi-et-la-formation,https://www.ccecrb.fgov.be/dpics/fichiers/2026-04-03-09-43-23_doc261020fr.pdf,avis/2026-04-03-09-43-23_doc261020fr.pdf,2026-04-03-09-43-23_doc261020fr.pdf,fr,https://www.ccecrb.fgov.be/type/fr/1/avis
avis_2026-04-03-09-49-58_doc261080fr,avis,avis,conseil central de l’économie,Vers un système de billettique intégré pour les transports en commun en Belgique,Mobilité,https://www.ccecrb.fgov.be/c/fr/4/mobilite,"Pour que les transports publics deviennent réellement attractifs, l’expérience de voyage de chaque usager des transports en commun doit être aussi simple, conviviale et...",02/04/2026,2026-04-02,2026,https://www.ccecrb.fgov.be/p/fr/1374/vers-un-systeme-de-billettique-integre-pour-les-transports-en-commun-en-belgique,https://www.ccecrb.fgov.be/dpics/fichiers/2026-04-03-09-49-58_doc261080fr.pdf,avis/2026-04-03-09-49-58_doc261080fr.pdf,2026-04-03-09-49-58_doc261080fr.pdf,fr,https://www.ccecrb.fgov.be/type/fr/1/avis
avis_2026-03-31-06-58-19_doc261000fr,avis,avis,conseil central de l’économie,Le mécanisme d’indexation plafonnée passé au crible par les partenaires sociaux,Négociation salariale,https://www.ccecrb.fgov.be/c/fr/1/negociation-salariale,"Au cours de leur séance du 31 mars 2026, le Conseil national du travail et le Conseil central de l’économie se sont prononcés sur les mesures relatives à...",31/03/2026,2026-03-31,2026,https://www.ccecrb.fgov.be/p/fr/1368/le-mecanisme-d-indexation-plafonnee-passe-au-crible-par-les-partenaires-sociaux,https://www.ccecrb.fgov.be/dpics/fichiers/2026-03-31-06-58-19_doc261000fr.pdf,avis/2026-03-31-06-58-19_doc261000fr.pdf,2026-03-31-06-58-19_doc261000fr.pdf,fr,https://www.ccecrb.fgov.be/type/fr/1/avis
avis_2026-04-28-10-34-05_doc261310fr,avis,avis,clauses abusives,Ajouts à la liste noire des clauses abusives dans les contrats conclus avec les consommateurs,Clauses abusives,https://www.ccecrb.fgov.be/c/fr/19/clauses-abusives,"La CCS Clauses abusives a approuvé le 27 mars 2026 un avis sur un avant-projet de loi portant des dispositions diverses en matière de protection des consommateurs. Dans cet avis, la...",27/03/2026,2026-03-27,2026,https://www.ccecrb.fgov.be/p/fr/1378/ajouts-a-la-liste-noire-des-clauses-abusives-dans-les-contrats-conclus-avec-les-consommateurs,https://www.ccecrb.fgov.be/dpics/fichiers/2026-04-28-10-34-05_doc261310fr.pdf,avis/2026-04-28-10-34-05_doc261310fr.pdf,2026-04-28-10-34-05_doc261310fr.pdf,fr,https://www.ccecrb.fgov.be/type/fr/1/avis
avis_2026-03-25-10-27-21_doc260925fr,avis,avis,conseil central de l’économie,Une enveloppe spécifique pour les groupes vulnérables,Emploi et compétitivité,https://www.ccecrb.fgov.be/c/fr/2/emploi-et-competitivite,L’accord de gouvernement annonce que l’enveloppe bien‑être générale pour la période 2025‑2029 serait remplacée par une enveloppe spécifique...,24/03/2026,2026-03-24,2026,https://www.ccecrb.fgov.be/p/fr/1365/une-enveloppe-specifique-pour-les-groupes-vulnerables,https://www.ccecrb.fgov.be/dpics/fichiers/2026-03-25-10-27-21_doc260925fr.pdf,avis/2026-03-25-10-27-21_doc260925fr.pdf,2026-03-25-10-27-21_doc260925fr.pdf,fr,https://www.ccecrb.fgov.be/type/fr/1/avis
avis_2026-04-02-10-30-08_doc260860fr,avis,avis,clauses abusives,Suppression de l'exception relative aux marchés publics en cas de clauses abusives,Clauses abusives,https://www.ccecrb.fgov.be/c/fr/19/clauses-abusives,"La Commission consultative spéciale (CCS) « Clauses abusives » a rendu, le 6 mars 2026, un avis sur la suppression éventuelle de l'exception relative aux...",13/03/2026,2026-03-13,2026,https://www.ccecrb.fgov.be/p/fr/1369/suppression-de-l-exception-relative-aux-marches-publics-en-cas-de-clauses-abusives,https://www.ccecrb.fgov.be/dpics/fichiers/2026-04-02-10-30-08_doc260860fr.pdf,avis/2026-04-02-10-30-08_doc260860fr.pdf,2026-04-02-10-30-08_doc260860fr.pdf,fr,https://www.ccecrb.fgov.be/type/fr/1/avis
avis_2026-03-10-02-05-40_doc260775fr,avis,avis,consommation,Restriction de l'utilisation d'articles pyrotechniques,Pratiques du commerce,https://www.ccecrb.fgov.be/c/fr/16/pratiques-du-commerce,"Le 10 mars 2026, la Commission consultative spéciale « Consommation » (CCS Consommation) a émis un avis sur une proposition de loi modifiant l'arrêté...",10/03/2026,2026-03-10,2026,https://www.ccecrb.fgov.be/p/fr/1360/restriction-de-l-utilisation-d-articles-pyrotechniques,https://www.ccecrb.fgov.be/dpics/fichiers/2026-03-10-02-05-40_doc260775fr.pdf,avis/2026-03-10-02-05-40_doc260775fr.pdf,2026-03-10-02-05-40_doc260775fr.pdf,fr,https://www.ccecrb.fgov.be/type/fr/1/avis
avis_2026-03-19-05-25-47_cce20260870avis_002,avis,avis,consommation,Dispositions diverses en matière de protection des consommateurs : la CCS Consommation publie un avis politique important,Pratiques du commerce,https://www.ccecrb.fgov.be/c/fr/16/pratiques-du-commerce,"À la demande du ministre de la Protection des consommateurs, Rob Beenders, la Commission consultative spéciale (CCS) « Consommation » a approuvé le 10 mars 2026 un...",10/03/2026,2026-03-10,2026,https://www.ccecrb.fgov.be/p/fr/1363/dispositions-diverses-en-matiere-de-protection-des-consommateurs-la-ccs-consommation-publie-un-avis-politique-important,https://www.ccecrb.fgov.be/dpics/fichiers/2026-03-19-05-25-47_CCE20260870Avis(002).pdf,avis/2026-03-19-05-25-47_CCE20260870Avis_002_.pdf,2026-03-19-05-25-47_CCE20260870Avis_002_.pdf,fr,https://www.ccecrb.fgov.be/type/fr/1/avis
avis_2026-03-06-10-11-38_doc260760fr,avis,avis,consommation,Unité de mesure alternative pour l’indication des prix des compléments alimentaires,Pratiques du commerce,https://www.ccecrb.fgov.be/c/fr/16/pratiques-du-commerce,La Commission consultative spéciale « Consommation » (CCS Consommation) a rédigé un avis sur la possibilité d’introduire une unité de mesure...,05/03/2026,2026-03-05,2026,https://www.ccecrb.fgov.be/p/fr/1359/unite-de-mesure-alternative-pour-l-indication-des-prix-des-complements-alimentaires,https://www.ccecrb.fgov.be/dpics/fichiers/2026-03-06-10-11-38_doc260760fr.pdf,avis/2026-03-06-10-11-38_doc260760fr.pdf,2026-03-06-10-11-38_doc260760fr.pdf,fr,https://www.ccecrb.fgov.be/type/fr/1/avis
